Place,Address,Balance_BTC,Del_Week,Del_Month,Per_of_coins,First_In,Last_In,First_Out,Last_Out,Ins,Outs
1,34xp4vRoCGJym3xR7yCVPFHoCNxv4Twseo,252597,,,1.32,2018-10-18 12:59:18,2022-06-20 18:49:20,2018-10-18 13:19:26,2022-01-27 19:01:27,724,449
2,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,168010,,,0.8805,2019-08-16 10:00:29,2022-06-16 22:52:05,2020-02-02 17:43:14,2021-11-12 13:40:40,95,78
3,1P5ZEDWTKTFGxQjZphgWPQUpe554WKDfHQ,131403,1211,3529,0.6887,2019-02-06 02:18:39,2022-06-29 20:29:00,2019-02-10 21:58:57,2022-06-09 21:29:56,758,82
4,3LYJfcfHPXYJreMsASk2jkn69LWEYKzexb,125351,8750,,0.6569,2019-06-17 11:52:41,2022-06-13 20:41:09,,,45,
5,3M219KR5vEneNb47ewrPfWyb5jQ2DjxRP6,101266,-6147,,0.5307,2018-11-13 14:11:02,2022-06-18 13:28:59,2018-11-13 14:11:02,2022-06-15 23:47:31,198,196
6,bc1qazcm763858nkj2dj986etajv6wquslv8uxwczt,94643,,,0.4960,2022-02-01 04:14:24,2022-06-16 22:52:05,,,44,
7,37XuVSEpWW4trkfmvWzegTHQt7BdktSKUs,94505,,,0.4953,2019-09-06 03:30:05,2022-06-03 14:56:43,2021-07-04 03:56:36,2021-07-04 04:10:14,133,2
8,1FeexV6bAHb8ybZjqQMjJrcCrHGW9sb6uF,79957,,,0.4190,2011-03-01 10:26:19,2022-06-29 10:52:51,,,423,
9,3Kzh9qAqVWQhEsfQz7zEQL1EuSx5tyNLNS,76655,10859,32515,0.4017,2015-08-25 00:28:20,2022-06-29 20:09:00,2015-08-25 20:44:05,2022-06-29 20:09:00,1591,1415
10,bc1qa5wkgaew2dkv56kfvj49j0av5nml45x9ek9hz6,69370,,,0.3636,2020-11-03 21:31:39,2022-06-16 22:52:05,,,47,
11,bc1qd4ysezhmypwty5dnw7c8nqy5h5nxg0xqsvaefd0qn5kq32vwnwqqgv4rzr,64300,7000,,0.3370,2021-10-11 12:39:15,2022-06-16 22:52:05,,,19,
12,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,54016,-4327,47735,0.2831,2021-10-08 07:14:44,2022-06-30 08:35:27,2021-10-12 07:03:37,2022-06-30 08:35:27,387391,384388
13,1LdRcdxfbSnmCYYNdeYpUnztiYzVfBEQeC,53880,,,0.2824,2014-05-27 22:49:42,2022-06-16 22:52:05,,,135,
14,1AC4fMwgY8j9onSbXEWeH6Zan8QGMSdmtA,51830,,,0.2716,2018-01-07 14:45:18,2022-06-18 07:55:50,,,109,
15,3CkUo2ChW6ALJUrU2ugZPJMtisKMJKwz5M,50620,50620,,0.2653,2022-05-31 08:40:15,2022-06-22 23:21:21,,,3,
16,bc1qmxjefnuy06v345v6vhwpwt05dztztmx4g3y7wp,49826,,,0.2611,2022-03-25 17:03:13,2022-06-16 22:52:05,,,8,
17,1LruNZjwamWJXThX2Y8C2d47QqhAkkc5os,44000,,,0.2306,2019-11-24 15:11:20,2022-06-16 22:52:05,,,41,
18,1HiCfvt2NMyoTdUtjBApabZFCd5myJWJzG,38962,38962,,0.2042,2022-06-07 08:17:20,2022-06-16 22:52:05,,,42,
