bc1qw8wrek2m7nlqldll66ajnwr9mh64syvkt67zlu,bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,20144,33190,29669
bc1qm34lsc65zpw79lxes69zkqmk6ee3ewf0j77s3h,bc1qw8wrek2m7nlqldll66ajnwr9mh64syvkt67zlu,20144,29669,33190
36NkTqCAApfRJBKicQaqrdKs29g6hyE4LS,3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnE,121,258,359
3FupZp77ySr7jwoLYEJ9mwzJpvoNBXsBnE,36NkTqCAApfRJBKicQaqrdKs29g6hyE4LS,121,359,258
3HSMPBUuAPQf6CU5B3qa6fALrrZXswHaF1,36NkTqCAApfRJBKicQaqrdKs29g6hyE4LS,66,188,258
36NkTqCAApfRJBKicQaqrdKs29g6hyE4LS,3HSMPBUuAPQf6CU5B3qa6fALrrZXswHaF1,66,258,188
1JFUG5K3HidvfJD4R7nKyDJikmFpPcBB2,19RtRzXV5px91eMbWZFCWLZRUeQX5XxxnJ,13,34,29
19RtRzXV5px91eMbWZFCWLZRUeQX5XxxnJ,1JFUG5K3HidvfJD4R7nKyDJikmFpPcBB2,13,29,34
1JFUG5K3HidvfJD4R7nKyDJikmFpPcBB2,1FZcb6BU1ZbHQJcby7vDF2Na1z9UmkGSSG,13,34,33
1FZcb6BU1ZbHQJcby7vDF2Na1z9UmkGSSG,1JFUG5K3HidvfJD4R7nKyDJikmFpPcBB2,13,33,34
1Mt6STNGoHGuDziUSCagqTGNGrbDFSBxRn,1361wC48gW19mKAJmAkdXScLZKYdXgViS9,12,36,31
1361wC48gW19mKAJmAkdXScLZKYdXgViS9,1Mt6STNGoHGuDziUSCagqTGNGrbDFSBxRn,12,31,36
1361wC48gW19mKAJmAkdXScLZKYdXgViS9,1M14kQL3zfyEAHx6JCM3gsZyAxyiSDMWdp,10,31,28
1JECFWTZsRw65y65DEVR2djXv2KMYfuo7A,1JKDzFHcb6KBybKSquvMw1FrxXhvBdMiB5,10,22,18
1M14kQL3zfyEAHx6JCM3gsZyAxyiSDMWdp,1361wC48gW19mKAJmAkdXScLZKYdXgViS9,10,28,31
18saWjMCchDTGWunefuDJSWNdz4p6KtfBL,1PL2cmmMLmGGDtqaSZJY8DR1iKJaziEPJv,10,18,15
1PL2cmmMLmGGDtqaSZJY8DR1iKJaziEPJv,18saWjMCchDTGWunefuDJSWNdz4p6KtfBL,10,15,18
1JKDzFHcb6KBybKSquvMw1FrxXhvBdMiB5,1JECFWTZsRw65y65DEVR2djXv2KMYfuo7A,10,18,22
19RtRzXV5px91eMbWZFCWLZRUeQX5XxxnJ,1M14kQL3zfyEAHx6JCM3gsZyAxyiSDMWdp,9,29,28
1AwimXdGoX8nR9dMagCDMGJQB62GNHgrqM,1FUpBduq45UfULPACj1Phw9hRvwroJqYUX,9,21,16
1PL2cmmMLmGGDtqaSZJY8DR1iKJaziEPJv,13nwifHUz5ZfHuQhk5ETJ4BhmqbuQdvTFp,9,15,22
1FUpBduq45UfULPACj1Phw9hRvwroJqYUX,1AwimXdGoX8nR9dMagCDMGJQB62GNHgrqM,9,16,21
1M14kQL3zfyEAHx6JCM3gsZyAxyiSDMWdp,19RtRzXV5px91eMbWZFCWLZRUeQX5XxxnJ,9,28,29
13nwifHUz5ZfHuQhk5ETJ4BhmqbuQdvTFp,1PL2cmmMLmGGDtqaSZJY8DR1iKJaziEPJv,9,22,15
14UeyAD9rQCSJgdJzuzFgShq84gW62Bsat,1D3mERfHYY2e96HKUZUsXX7HqHkqUFEadv,8,11,12
19CkUw43czT8yQctnHXNiB5ivNtibWbzqS,1HvZQX9XkFFaNa8d5VpwMcYkyebyp6cCXM,8,19,23
13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,1E1SKgxgYJFXzaLxgat2FNSnwWeKz1U15N,8,9,6
1Ly9nQEyaRQoRPSAE4dABrpav2SaAR383W,154sxXJekWHQ5nPxkkaWnMghy4o9qWaNdU,8,12,17
1gvH7pGPrEBNjqmwYS8UDhjFQkyqkKCLE,1KLay1g7rZxAiotuDhGy5YizdXSpqkFxQ9,8,6,8
1E1SKgxgYJFXzaLxgat2FNSnwWeKz1U15N,13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,8,6,9
1HvZQX9XkFFaNa8d5VpwMcYkyebyp6cCXM,19CkUw43czT8yQctnHXNiB5ivNtibWbzqS,8,23,19
154sxXJekWHQ5nPxkkaWnMghy4o9qWaNdU,15SGg7PpcJ7bMhENw4gc3Qp4LT6c5uLGza,8,17,15
13nwifHUz5ZfHuQhk5ETJ4BhmqbuQdvTFp,18saWjMCchDTGWunefuDJSWNdz4p6KtfBL,8,22,18
18saWjMCchDTGWunefuDJSWNdz4p6KtfBL,13nwifHUz5ZfHuQhk5ETJ4BhmqbuQdvTFp,8,18,22
1K8QG4fuswaWFZ2fmmuxVKaWibi9H95iGw,1DwSAnZw4Gk9FotgWZhRb3Nzqi4PLdU8M,8,18,27
19RtRzXV5px91eMbWZFCWLZRUeQX5XxxnJ,1361wC48gW19mKAJmAkdXScLZKYdXgViS9,8,29,31
1KLay1g7rZxAiotuDhGy5YizdXSpqkFxQ9,1gvH7pGPrEBNjqmwYS8UDhjFQkyqkKCLE,8,8,6
1D3mERfHYY2e96HKUZUsXX7HqHkqUFEadv,14UeyAD9rQCSJgdJzuzFgShq84gW62Bsat,8,12,11
154sxXJekWHQ5nPxkkaWnMghy4o9qWaNdU,1Ly9nQEyaRQoRPSAE4dABrpav2SaAR383W,8,17,12
1DwSAnZw4Gk9FotgWZhRb3Nzqi4PLdU8M,1K8QG4fuswaWFZ2fmmuxVKaWibi9H95iGw,8,27,18
15SGg7PpcJ7bMhENw4gc3Qp4LT6c5uLGza,154sxXJekWHQ5nPxkkaWnMghy4o9qWaNdU,8,15,17
1361wC48gW19mKAJmAkdXScLZKYdXgViS9,19RtRzXV5px91eMbWZFCWLZRUeQX5XxxnJ,8,31,29
1Gc6ggvqHRRwyyx6rrW9Wn17bqzV7voWvD,1GuLYGgr9FZwCBBQfDmMiJfTF4cvyrJSeu,7,19,18
14UeyAD9rQCSJgdJzuzFgShq84gW62Bsat,1DDWbJhKqfidczaHF1ugGP2KzPgcaU3tGD,7,11,15
1KLay1g7rZxAiotuDhGy5YizdXSpqkFxQ9,1E1SKgxgYJFXzaLxgat2FNSnwWeKz1U15N,7,8,6
1GDsWXPNUqKp2AtqRNZuUgzoCChuJfpi6f,1AN2EJMCyKn8dcfv8gonihvRPvyYuNUuQP,7,9,9
1HvZQX9XkFFaNa8d5VpwMcYkyebyp6cCXM,1D3mERfHYY2e96HKUZUsXX7HqHkqUFEadv,7,23,12
1AN2EJMCyKn8dcfv8gonihvRPvyYuNUuQP,1GDsWXPNUqKp2AtqRNZuUgzoCChuJfpi6f,7,9,9
1DDWbJhKqfidczaHF1ugGP2KzPgcaU3tGD,14UeyAD9rQCSJgdJzuzFgShq84gW62Bsat,7,15,11
1FvkWMMH9MDMACHqynrerzduaQ5AjjZKDA,1HvZQX9XkFFaNa8d5VpwMcYkyebyp6cCXM,7,19,23
1FUpBduq45UfULPACj1Phw9hRvwroJqYUX,1GuLYGgr9FZwCBBQfDmMiJfTF4cvyrJSeu,7,16,18
13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,1KLay1g7rZxAiotuDhGy5YizdXSpqkFxQ9,7,9,8
1Cw9Kyr8hKsucXTtcwuGVqeBHDrnRtXC8D,1AwimXdGoX8nR9dMagCDMGJQB62GNHgrqM,7,19,21
1E1SKgxgYJFXzaLxgat2FNSnwWeKz1U15N,1KLay1g7rZxAiotuDhGy5YizdXSpqkFxQ9,7,6,8
1DDWbJhKqfidczaHF1ugGP2KzPgcaU3tGD,1D3mERfHYY2e96HKUZUsXX7HqHkqUFEadv,7,15,12
1D3mERfHYY2e96HKUZUsXX7HqHkqUFEadv,1HvZQX9XkFFaNa8d5VpwMcYkyebyp6cCXM,7,12,23
1HvZQX9XkFFaNa8d5VpwMcYkyebyp6cCXM,1FvkWMMH9MDMACHqynrerzduaQ5AjjZKDA,7,23,19
1FvkWMMH9MDMACHqynrerzduaQ5AjjZKDA,14UeyAD9rQCSJgdJzuzFgShq84gW62Bsat,7,19,11
1D3mERfHYY2e96HKUZUsXX7HqHkqUFEadv,1FvkWMMH9MDMACHqynrerzduaQ5AjjZKDA,7,12,19
1AwimXdGoX8nR9dMagCDMGJQB62GNHgrqM,1Cw9Kyr8hKsucXTtcwuGVqeBHDrnRtXC8D,7,21,19
1KLay1g7rZxAiotuDhGy5YizdXSpqkFxQ9,13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,7,8,9
1D3mERfHYY2e96HKUZUsXX7HqHkqUFEadv,1DDWbJhKqfidczaHF1ugGP2KzPgcaU3tGD,7,12,15
15ZQJagAa2iUCwpQXUUCZ4BfzFW5TAVyJj,1M9pAdfhGHtQkhGRijApWAkkrPCduvV6Zi,7,7,7
12yePmcVhMzzHYwh4BpVF3Cm1bYL9mqyKc,13pTeUzSU4nwkM72hM6e8AcP2d8LudZBjc,7,7,9
